UMLS_pt,UMLS_pt_UI,pt
Skin neoplasm bleeding,C1261964,Drug effect increased
Drug administration error,C1536055,Skin neoplasm bleeding
Spinal fusion surgery,C0919636,Drug administration error
Venous Insufficiency,C0042485,Spinal fusion surgery
Fungal pneumonia,C0339961,Venous insufficiency
Loose tooth,C0600028,Pneumonia fungal
Streptococcal sore throat,C0036689,Loose tooth
Pigmentation Disorders,C0549567,Pharyngitis streptococcal
Livedo Reticularis,C0085642,Pigmentation disorder
Decreased mean platelet volume,C1096368,Livedo reticularis
Electrocardiogram T wave peaked,C0855337,Mean platelet volume decreased
Electrolyte imbalance,C0342579,Electrocardiogram T wave peaked
Standard chest X-ray abnormal,C0436503,Electrolyte imbalance
Disorder of palate,C1290785,Chest X-ray abnormal
Congestion of nasal sinus (disorder),C0152029,Palatal disorder
Gingival Hyperplasia,C0017566,Sinus congestion
Periodontitis,C0031099,Gingival hyperplasia
Arthropod bite,C0853348,Periodontitis
Localized Edema,C0013609,Arthropod bite
Hydrocele operation,C0473204,Localised oedema
Tracheostomy procedure,C0040590,Hydrocele operation
Urgent desire for stool,C0426636,Tracheostomy
Injection site edema,C0151605,Defaecation urgency
Scratch marks,C1384489,Injection site oedema
Incorrect storage of drug,C1610639,Scratch
Wound discharge finding,C0406834,Incorrect storage of drug
Apathy,C0085632,Wound secretion
Lower abdominal pain,C0232495,Listless
Ulcerative Colitis,C0009324,Abdominal pain lower
Joint stiffness,C0162298,Colitis ulcerative
Thyroxine level above reference range,C1295665,Joint stiffness
Pain in coccyx,C0009193,Thyroxine increased
Complex Regional Pain Syndromes,C0458219,Coccydynia
Joint crepitus,C0231592,Complex regional pain syndrome
Lichen Planus,C0023646,Joint crepitation
Circumoral oedema,C0239062,Lichen planus
Demyelination,C0011304,Circumoral oedema
Focal Infection,C0016397,Demyelination
Trichomonas Infections,C0040921,Localised infection
Ageusia,C2364111,Trichomoniasis
Body temperature measurement,C0886414,Ageusia
Parophthalmia,C1167753,Body temperature
Nail discoloration,C0221345,Parophthalmia
Nail Diseases,C0027339,Nail discolouration
Polychondritis,C0747733,Nail disorder
Pustular psoriasis,C0152081,Polychondritis
Oral mucosal erythema,C1963750,Pustular psoriasis
Paranasal sinus hypersecretion,C1112369,Oral mucosal erythema
Polymyalgia Rheumatica,C0032533,Paranasal sinus hypersecretion
Trypanophobia,C5886782,Polymyalgia rheumatica
Gastrointestinal bacterial infection,C2363723,Fear of injection
Gastrointestinal mucosal disorder,C1112313,Gastrointestinal bacterial infection
Ulceration of intestine,C0151971,Gastrointestinal mucosal disorder
Incorrect product storage,C2609229,Intestinal ulcer
Oral paresthesia,C0521591,Incorrect product storage
Rosacea,C0035854,Paraesthesia oral
Injection site macule,C1868846,Rosacea
Eosinophilia,C0014457,Injection site macule
Grip strength decreased,C1262148,Eosinophilia
Ultrasound liver abnormal,C0740315,Grip strength decreased
Coronary bypass thrombosis,C1142164,Ultrasound liver abnormal
Bacterial Infections,C0004623,Coronary bypass thrombosis
Enteric campylobacteriosis,C0275982,Bacterial infection
Mucus in stool,C0241254,Campylobacter gastroenteritis
Inflammatory pain,C0234251,Mucous stools
Sinus headache,C0037195,Inflammatory pain
Infectious Mononucleosis,C0021345,Sinus headache
Incorrect dose administered by device,C2609273,Infectious mononucleosis
Bicuspid aortic valve,C0149630,Incorrect dose administered by device
Cartilage injury,C0852694,Bicuspid aortic valve
Vulvovaginal mycotic infection,C1609512,Cartilage injury
Red blood cell morphology abnormal,C0476320,Vulvovaginal mycotic infection
Injury associated with device,C2747853,Red blood cell morphology abnormal
Lyme Disease,C0024198,Injury associated with device
Infected bite,C0850638,Lyme disease
Reaction to previous exposure to any vaccine,C1868735,Infected bites
Bloody discharge finding,C0333271,Reaction to previous exposure to any vaccine
Secretion discharge,C1096020,Bloody discharge
Rheumatoid lung disease,C0994344,Secretion discharge
Overweight,C0497406,Rheumatoid lung
Neutropenic sepsis,C0877153,Overweight
Feeling intoxicated,C0522172,Neutropenic sepsis
Abdominal mass,C0000734,Feeling drunk
Incorrect drug dosage form administered,C1535999,Abdominal mass
Neoplasms,C0027651,Incorrect drug dosage form administered
Product deposit,C2609206,Neoplasm
International normalised ratio fluctuation,C1504327,Product deposit
Diabetic Neuropathies,C0011882,International normalised ratio fluctuation
Spondylitis,C0038012,Diabetic neuropathy
Muscle hemorrhage,C0151702,Spondylitis
Asthenopia,C0004095,Muscle haemorrhage
Instillation site pain,C0858797,Asthenopia
Erythema Multiforme,C0014742,Instillation site pain
Infected ulcer of skin,C0406519,Erythema multiforme
Discharge from eye,C0423006,Infected skin ulcer
Scleral injection,C0423271,Eye discharge
Drug resistance,C0013203,Scleral hyperaemia
Low birth weight baby,C1963897,Drug resistance
Maternal drugs affecting foetus,C0859078,Low birth weight baby
Dry tongue,C0426498,Maternal drugs affecting foetus
Cognitive function: distractibility,C0233415,Tongue dry
Incoherent,C0542044,Distractibility
Parathyroid Diseases,C0030517,Incoherent
Clumsiness,C0233844,Parathyroid disorder
Dysphemia,C1096340,Clumsiness
Pulmonary arterial hypertension,C2973725,Dysphemia
Pain in testicle,C0039591,Pulmonary arterial hypertension
Vascular rupture,C0679401,Testicular pain
Cerebral arterial thrombosis,C0795687,Vascular rupture
Communication impairment,C0009460,Cerebral artery thrombosis
Polycythemia,C0032461,Communication disorder
Drug administered at inappropriate site,C0857797,Polycythaemia
muscle injury,C0410256,Drug administered at inappropriate site
Secondary malignant neoplasm of lung,C0153676,Muscle injury
Back disorder,C0263888,Lung cancer metastatic
Urologic Diseases,C0042075,Back disorder
Blood creatine phosphokinase increased,C0853034,Urinary tract disorder
Crushing injury,C0332679,Blood creatine phosphokinase increased
Application site erythema,C0853700,Crush injury
Application site irritation,C0521490,Application site erythema
Accidental overdose,C0151821,Application site irritation
Pigmentation of eyelids,C0854438,Accidental overdose
Hypertrichosis,C0020555,Blepharal pigmentation
Precancerous skin lesion,C0877510,Hypertrichosis
Swelling of skin,C0281982,Precancerous skin lesion
Vesicular eczema of hands and/or feet,C0032633,Skin swelling
Skin reaction,C0221743,Dyshidrotic eczema
"Hepatitis, Toxic",C0019193,Skin reaction
Diabetic Ketoacidosis,C0011880,Hepatitis toxic
Multiple Trauma,C0026771,Diabetic ketoacidosis
gallbladder neoplasm,C0016978,Multiple injuries
Liver neoplasms,C0023903,Gallbladder neoplasm
Skeletal injury,C0597457,Hepatic neoplasm
Abscess of intestine,C0156185,Skeletal injury
Gastrointestinal stoma complication,C1696157,Abscess intestinal
Urinary tract infection enterococcal,C0854506,Gastrointestinal stoma complication
Pelvic Pain,C0030794,Urinary tract infection enterococcal
Pain in penis,C0497481,Pelvic pain
Retrograde ejaculation,C0403673,Penile pain
Tri-iodothyronine uptake increased,C0241323,Retrograde ejaculation
Aortic Valve Stenosis,C0003507,Tri-iodothyronine increased
Animal scratch,C0852919,Aortic valve stenosis
Immune System Diseases,C0021053,Animal scratch
Vascular wall hypertrophy,C3495852,Immune system disorder
Dyslexia,C0476254,Vascular wall hypertrophy
Chronic Lymphocytic Leukemia,C0023434,Dyslexia
Vitamin B12 absorption decreased,C0858738,Chronic lymphocytic leukaemia
Necrosis,C0027540,Vitamin B12 decreased
Device difficult to use,C2747878,Necrosis
Fine motor delay,C1735324,Device difficult to use
Enterococcal bacteraemia,C0854504,Fine motor delay
Streptococcal sepsis,C0152964,Enterococcal bacteraemia
Achromia of skin,C0262977,Streptococcal bacteraemia
Blood blister,C0563247,Skin depigmentation
Rhinalgia,C0948070,Blood blister
Ankylosing spondylitis,C0038013,Rhinalgia
Acrochordon excision,C1112305,Ankylosing spondylitis
Infectious disease carrier,C0700432,Acrochordon excision
Nodal rhythm disorder,C0264893,Infectious disease carrier
Tibial Fractures,C0040185,Nodal arrhythmia
Hypergammaglobulinemia,C0020455,Tibia fracture
Herpes Zoster Ophthalmicus,C0019364,Hypergammaglobulinaemia
Vulvovaginal pruritus,C1112214,Ophthalmic herpes zoster
Musculoskeletal chest pain,C0476280,Vulvovaginal pruritus
Purulent discharge,C0333274,Musculoskeletal chest pain
Injection site paresthesia,C0521506,Purulent discharge
Inflammatory marker increased,C2747864,Injection site paraesthesia
Pneumothorax,C0032326,Inflammatory marker increased
Precancerous cells present,C0877282,Pneumothorax
Seborrheic dermatitis of scalp,C0221244,Precancerous cells present
Blister at injection site,C0854431,Dandruff
Urine alcohol test positive,C1112219,Injection site vesicles
Hypochloremia (disorder),C0085680,Urine alcohol test positive
Hypophosphatemia,C0085682,Hypochloraemia
Helicobacter Infections,C0079487,Hypophosphataemia
High density lipoprotein abnormal,C0853605,Helicobacter infection
Urine flow decreased,C0549418,High density lipoprotein abnormal
Oesophageal irritation,C0743575,Urine flow decreased
Abnormal pulse,C0235472,Oesophageal irritation
Left Ventricular Hypertrophy,C0149721,Pulse abnormal
De Quervain Disease,C0149870,Left ventricular hypertrophy
Hemothorax,C0019123,Tenosynovitis stenosans
Gastrointestinal obstruction,C0236124,Haemothorax
Dysentery,C0013369,Gastrointestinal obstruction
Formication,C0016579,Dysentery
"Disruptive, Impulse Control, and Conduct Disorders",C0021122,Formication
"Infections, Hospital",C0205721,Impulse-control disorder
Chickenpox,C0008049,Nosocomial infection
Onychoclasis,C4284007,Varicella
Pruritus of tongue,C2748057,Onychoclasis
Vaccination site erythema,C1142539,Tongue pruritus
Vaccination site pain,C0857219,Vaccination site erythema
Vaccination site reaction,C1142480,Vaccination site pain
Drug level decreased,C0151598,Vaccination site reaction
Prolonged bleeding time,C0151529,Drug level decreased
von Willebrand Disease,C0042974,Bleeding time prolonged
Weepiness,C0424109,Von Willebrand's disease
Malignant neoplasm of skin,C0007114,Tearfulness
Operative procedure on knee,C0187769,Skin cancer
Peripheral Vascular Diseases,C0085096,Knee operation
Impaired exercise tolerance,C0424551,Peripheral vascular disorder
Large intestinal obstruction reduction,C0852802,Exercise tolerance decreased
Muscle twitch,C0231530,Large intestinal obstruction
Acute tonsillitis,C0001361,Muscle twitching
Neurogenic Urinary Bladder,C0005697,Acute tonsillitis
Macular fibrosis,C0694575,Neurogenic bladder
Erythema of skin of eyelid,C5545368,Macular fibrosis
Eye Infection,C0015403,Erythema of eyelid
Eyelid pain,C1142349,Eye infection
Ulcer of pharynx,C1290332,Eyelid pain
Eyelid margin crusting,C0948294,Pharyngeal ulceration
Vascular pain,C0858765,Eyelid margin crusting
Retinal Diseases,C0035309,Vascular pain
Snoring,C0037384,Retinopathy
Injection site anesthesia,C0234944,Snoring
Incision site pain,C1142257,Injection site anaesthesia
Papule,C0332563,Incision site pain
Hand deformities,C0018564,Papule
Pus in stool,C0476348,Hand deformity
Lip exfoliation,C1536047,Pus in stool
Sinus operation,C0748725,Lip exfoliation
Injection site discomfort,C1096267,Sinus operation
Vitamin Deficiency,C1510471,Injection site discomfort
Allergy to arthropod sting,C1141954,Hypovitaminosis
Biopsy of skin (procedure),C0150866,Allergy to arthropod sting
Hematologic Tests,C0018941,Biopsy skin
Heart valve replacement (procedure),C0190173,Blood test
Benign mucous membrane pemphigoid with ocular involvement,C0157721,Heart valve replacement
Blood Pressure,C0005823,Ocular pemphigoid
Renal Artery Stenosis,C0035067,Blood pressure
Catatonia,C0007398,Renal artery stenosis
Malignant Bone Neoplasm,C0279530,Catatonia
Metastatic malignant neoplasm to bone,C0153690,Bone cancer
Muscular Atrophy,C0026846,Metastases to bone
Drug reaction with eosinophilia and systemic symptoms syndrome (SMQ),C4087541,Muscle atrophy
Wound of skin,C0564444,Drug reaction with eosinophilia and systemic symptoms
Malignant neoplasm of thyroid,C0007115,Skin wound
Injection site hypertrophy,C0854442,Thyroid cancer
Infiltrating duct carcinoma,C1412014,Injection site hypertrophy
Acarodermatitis,C1504343,Invasive ductal breast carcinoma
Blood lactic acid,C0853170,Acarodermatitis
Abnormal breathing,C1260922,Blood lactic acid
Hidradenitis,C0085160,Respiration abnormal
Abdominal Abscess,C0243001,Hidradenitis
Blood chloride increased,C0595900,Abdominal abscess
Blood sodium increased,C0595878,Blood chloride increased
Lymphocyte count increased,C0853698,Blood sodium increased
Blood Platelet Disorders,C0005818,Lymphocyte count increased
Abdominal wall haemorrhage,C2242495,Platelet disorder
Pyoderma Gangrenosum,C0085652,Abdominal wall haemorrhage
Fibroid Tumor,C0023267,Pyoderma gangrenosum
Fetal Growth Retardation,C0015934,Leiomyoma
Balanitis,C0004690,Foetal growth restriction
Bacterial urogenital infection,C0729523,Balanitis
Conjunctivitis,C0009763,Urogenital infection bacterial
Animal bite,C0003044,Conjunctivitis
Anti-neutrophil cytoplasmic antibody positive vasculitis,C0919818,Animal bite
Pulmonary Alveolar Hemorrhage,C0852879,Anti-neutrophil cytoplasmic antibody positive vasculitis
Pulmonary renal syndrome,C0549143,Pulmonary alveolar haemorrhage
Red blood cells urine positive,C0221752,Pulmonary renal syndrome
Urinary casts present,C0151990,Red blood cells urine
Gastrointestinal motility disorder,C0854121,Urinary casts
Lesion of genitalia,C0744369,Gastrointestinal motility disorder
irregular menstruation (diagnosis),C5700142,Genital lesion
Renal cancer metastatic,C0919976,Menstruation irregular
Miliaria,C0026113,Renal cancer metastatic
International normalized ratio decreased,C0853226,Miliaria
Calcium pyrophosphate deposition disease,C0553730,International normalised ratio decreased
Mass of skin,C0281981,Chondrocalcinosis pyrophosphate
Piloerection,C0031924,Skin mass
Onychoatrophy,C0455950,Piloerection
Disorder of optic nerve,C0029132,Nail atrophy
Pili incarnati (disorder),C0263492,Optic nerve disorder
Rheumatoid Nodule,C0035450,Ingrown hair
Tenalgia,C0231529,Rheumatoid nodule
Cholecystitis infective,C1262168,Tendon pain
Puncture site induration,C1963809,Cholecystitis infective
Depressive Symptoms,C0086132,Puncture site induration
Hypertriglyceridemia,C0020557,Depressive symptom
Lymphocyte stimulation test positive,C1261974,Hypertriglyceridaemia
Second degree burn injury,C0332687,Lymphocyte stimulation test positive
Injection site hypersensitivity,C0151726,Burns second degree
Ruptured simple cyst,C0333140,Injection site hypersensitivity
Ovarian Cysts,C0029927,Cyst rupture
Gingiva operations,C0398952,Ovarian cyst
Injury of integument,C0281980,Gingival operation
Venous Injury,C0340770,Skin injury
Erythrocyte sedimentation rate raised,C0151632,Venous injury
Malignant neoplasm of colon stage IV,C0278484,Red blood cell sedimentation rate increased
"Carcinoma, Transitional Cell",C0007138,Colon cancer stage IV
"Nails, Ingrown",C0027343,Transitional cell carcinoma
nail avulsion injury,C0851257,Ingrowing nail
"Hyperparathyroidism, Secondary",C0020503,Nail avulsion
Restrictive pulmonary disease,C0877013,Hyperparathyroidism secondary
Benign Neoplasm,C0086692,Restrictive pulmonary disease
Adjustment Disorders,C0001546,Benign neoplasm
Maculopapular Lesion,C0423791,Adjustment disorder
Lipids outside reference range,C0549634,Rash maculo-papular
Mastoiditis,C0024904,Lipids abnormal
Infected dermatitis,C1323189,Mastoiditis
Adenoma,C0001430,Dermatitis infected
Cerebellar Neoplasms,C0007762,Adenoma benign
Social disinhibition,C0424296,Cerebellar tumour
